level and experience tables

start at 01
level 02 >= 400
level 03 >= 900
level 04 >= 1400
level 05 >= 2100
level 06 >= 2800
level 07 >= 3800
level 08 >= 5000
level 09 >= 6400
level 10 >= 8100
level 11 >= 9200
level 12 >= 10700
level 13 >= 13200
level 14 >= 16800
level 15 >= 20300
level 16 >= 24400
level 17 >= 28000
level 18 >= 31500
level 19 >= 34800
level 20 >= 38500
level 21 >= 42300
level 22 >= 46500
level 23 >= 49400
level 24 >= 52000
level 25 >= 55000
level 26 >= 58400
level 27 >= 61200
level 28 >= 64100
level 29 >= 66800
level 30 >= 71600
level 31 >= 76100
level 32 >= 81400
level 33 >= 85600
level 34 >= 90200
level 35 >= 94500
level 36 >= 99200
level 37 >= 104000
level 38 >= 108400
level 39 >= 113200
level 40 >= 117900
level 41 >= 123000
level 42 >= 128700
level 43 >= 134100
level 44 >= 139800
level 45 >= 145400
level 46 >= 151400
level 47 >= 157500
level 48 >= 163400
level 49 >= 169700
level 50 >= 176000
level 51 >= 182400
level 52 >= 189100
level 53 >= 196000
level 54 >= 202500
level 55 >= 209500
level 56 >= 216500
level 57 >= 223500
level 58 >= 231000
level 59 >= 238400
level 60 >= 245500
level 61 >= 254300
level 62 >= 261800
level 63 >= 269800
level 64 >= 277800
level 65 >= 285700
level 66 >= 294000
level 67 >= 302500
level 68 >= 311000
level 69 >= 319500
level 70 >= 328500
level 71 >= 337000
level 72 >= 345700
level 73 >= 354800
level 74 >= 364000
level 75 >= 373000
level 76 >= 382600
level 77 >= 392200
level 78 >= 401600
level 79 >= 411400
level 80 >= 421300
level 81 >= 431400
level 82 >= 441200
level 83 >= 451500
level 84 >= 461900
level 85 >= 472100
level 86 >= 482800
level 87 >= 493500
level 88 >= 504000
level 89 >= 515000
level 90 >= 526000
